transf_loc,sku,primary_voltage,size_kva,transformer_age,customers,percent_lol,consecutive_months_overloaded,loss_of_life,max_overload,life_expectancy_at_conditions,date_max_overload,IEEE C57.91 Temp/Loading Flags
T 10295,91365,27.6kV,75,22,33,5.28918E-05,0,0.001850658,72,35,2021-07-06 0:00,
TE 4958,90605,27.6kV,75,33,16,5.28809E-05,0,0.001850276,55.5,35,2021-07-04 0:00,
TE 3887,90601,27.6kV,50,4,16,5.28464E-05,0,0.00184907,38,35,2021-08-29 0:00,
TE 6091,90605,27.6kV,75,21,11,5.28106E-05,0,0.001847818,49.5,35,2021-06-27 0:00,
TE 1888,90601,27.6kV,50,9,14,5.27964E-05,0,0.001847318,40,35,2021-08-28 0:00,
T 11054,91360,27.6kV,50,12,21,5.27826E-05,0,0.001846837,50.5,35,2021-06-28 0:00,
TE 5495,90600,27.6kV,50,28,14,5.27718E-05,0,0.001846459,40.5,35,2021-07-25 0:00,
TE 4381,90601,27.6kV,50,34,15,5.2769E-05,0,0.001846362,43.5,35,2021-07-05 0:00,
TE 8932,90601,27.6kV,50,6,13,5.27612E-05,0,0.001846087,46.03,35,2022-01-20 0:00,
TE 7542,90601,27.6kV,50,15,13,5.276E-05,0,0.001846046,41,35,2021-06-05 0:00,
TE 2082,90601,27.6kV,50,16,17,5.27198E-05,0,0.001844638,43,35,2021-07-04 0:00,
TE 9047,90601,27.6kV,50,4,14,5.27171E-05,0,0.001844544,39.5,35,2021-05-23 0:00,
T 11979,91370,27.6kV,100,2,57,5.2716E-05,0,0.001844505,99,35,2021-06-28 0:00,
T 8136,91360,27.6kV,50,48,25,5.27114E-05,0,0.001844344,49.5,35,2021-06-27 0:00,
TE 1165,90462,27.6kV,150,8,1,5.27105E-05,0,0.001844315,84,35,2021-08-29 0:00,
TE 7663,90601,27.6kV,50,12,14,5.26705E-05,0,0.001842916,39.5,35,2021-07-05 0:00,
TE 5902,90600,27.6kV,50,24,15,5.26565E-05,0,0.001842425,40.5,35,2021-08-23 0:00,
TE 8936,90601,27.6kV,50,5,14,5.26486E-05,0,0.001842149,39.5,35,2021-08-29 0:00,
TE 4649,90082,4.16kV,50,34,13,5.26348E-05,0,0.001841664,43,35,2021-08-23 0:00,
TE 8215,90601,27.6kV,50,11,15,5.26281E-05,0,0.00184143,38.5,35,2021-06-27 0:00,
TE 5840,90601,27.6kV,50,9,15,5.26091E-05,0,0.001840766,40,35,2021-06-06 0:00,
TE 6540,90601,27.6kV,50,21,16,5.25909E-05,0,0.00184013,41,35,2021-07-05 0:00,
TE 9505,90601,27.6kV,50,2,18,5.25791E-05,0,0.001839716,36.5,35,2021-08-23 0:00,
TE 7034,90601,27.6kV,50,18,12,5.25633E-05,0,0.001839164,44.5,35,2021-08-29 0:00,
TE 8033,90601,27.6kV,50,12,16,5.25632E-05,0,0.00183916,39,35,2021-06-28 0:00,
TE 2809,90601,27.6kV,50,11,13,5.25582E-05,0,0.001838986,39,35,2021-06-28 0:00,
T 2663,91075,4.16kV,37,61,12,5.25453E-05,0,0.001838535,35.15,35,2021-06-06 0:00,
TE 3697,90601,27.6kV,50,11,15,5.25275E-05,0,0.001837911,34.5,35,2021-06-05 0:00,
T 9213,91365,27.6kV,75,29,21,5.2499E-05,0,0.001836915,69.75,35,2021-07-05 0:00,
TE 7239,90717,27.6kV,225,17,1,5.24824E-05,0,0.001836332,189,35,2021-07-05 0:00,
TE 1620,90601,27.6kV,50,20,15,5.2479E-05,0,0.001836214,43,35,2021-08-23 0:00,
TE 1937,90604,27.6kV,75,20,12,5.24709E-05,0,0.00183593,51.75,35,2021-08-22 0:00,
TE 3344,90601,27.6kV,50,5,17,5.24503E-05,0,0.001835212,37.91,35,2022-02-05 0:00,
TE 6841,90713,27.6kV,150,21,2,5.24372E-05,0,0.001834751,97.5,35,2021-06-29 0:00,
TE 5926,90600,27.6kV,50,24,16,5.24117E-05,0,0.001833861,44.5,35,2021-06-06 0:00,
TE 8073,90601,27.6kV,50,11,18,5.24116E-05,0,0.001833856,36,35,2021-05-24 0:00,
TE 3725,90601,27.6kV,50,12,14,5.23894E-05,0,0.00183308,65.07,35,2022-03-27 0:00,
TE 3285,90601,27.6kV,50,11,15,5.23887E-05,0,0.001833055,41.5,35,2021-08-28 0:00,
T 9001,91365,27.6kV,75,30,35,5.23744E-05,0,0.001832556,76.5,35,2021-07-25 0:00,
T 9518,91360,27.6kV,50,27,22,5.23482E-05,0,0.001831636,46.5,35,2021-07-06 0:00,
TE 4483,90605,27.6kV,75,34,12,5.23343E-05,0,0.001831153,54,35,2021-07-05 0:00,
T 10843,91370,27.6kV,100,21,46,5.23171E-05,0,0.00183055,93,35,2021-06-27 0:00,
TE 6572,90601,27.6kV,50,21,16,5.23115E-05,0,0.001830354,39.5,35,2021-06-28 0:00,
TE 7700,90601,27.6kV,50,14,13,5.23097E-05,0,0.00183029,40,35,2021-08-29 0:00,
TE 1310,90462,27.6kV,150,6,1,5.23075E-05,0,0.001830215,72,35,2021-08-24 0:00,
TE 5897,90600,27.6kV,50,24,15,5.23033E-05,0,0.001830065,37.5,35,2021-06-06 0:00,
TE 2113,90604,27.6kV,75,14,12,5.2282E-05,0,0.00182932,49.5,35,2021-06-20 0:00,
TE 354,90601,27.6kV,50,10,16,5.22706E-05,0,0.001828924,36.5,35,2021-06-26 0:00,
TE 8643,90601,27.6kV,50,7,16,5.22698E-05,0,0.001828894,39.5,35,2021-08-29 0:00,
TE 6900,90601,27.6kV,50,19,13,5.22239E-05,0,0.00182729,39.5,35,2021-08-22 0:00,
T 10661,91360,27.6kV,50,15,28,5.22003E-05,0,0.001826464,43.13,35,2021-11-22 0:00,
TE 8689,90601,27.6kV,50,8,12,5.21948E-05,0,0.00182627,36.5,35,2021-08-24 0:00,
TE 40,90601,27.6kV,50,7,18,5.21763E-05,0,0.001825623,40.25,35,2022-01-10 0:00,
TE 1991,90601,27.6kV,50,11,16,5.21723E-05,0,0.001825483,46,35,2021-08-29 0:00,
TE 5838,90600,27.6kV,50,11,13,5.21556E-05,0,0.001824899,38.5,35,2021-08-21 0:00,
TE 4639,90605,27.6kV,75,33,16,5.21365E-05,0,0.001824231,65.25,35,2021-06-05 0:00,
TE 8022,90601,27.6kV,50,12,20,5.2132E-05,0,0.001824074,37,35,2021-06-05 0:00,
TE 4613,90601,27.6kV,50,8,17,5.2115E-05,0,0.001823476,39.5,35,2021-06-06 0:00,
TE 2566,90600,27.6kV,50,46,19,5.20891E-05,0,0.001822573,39,35,2021-08-22 0:00,
TE 9108,90601,27.6kV,50,5,14,5.20578E-05,0,0.001821476,37,35,2021-08-24 0:00,
TE 2035,90604,27.6kV,75,20,17,5.20572E-05,0,0.001821455,57.75,35,2021-08-09 0:00,
TE 7263,90601,27.6kV,50,17,14,5.20564E-05,0,0.001821428,38,35,2021-08-22 0:00,
TE 4540,90600,27.6kV,50,34,16,5.20478E-05,0,0.001821127,39.5,35,2021-07-18 0:00,
TE 9331,90601,27.6kV,50,4,10,5.2004E-05,0,0.001819594,42.5,35,2021-06-08 0:00,
TE 3895,90601,27.6kV,50,4,15,5.19856E-05,0,0.001818949,44,35,2021-08-29 0:00,
TE 7121,90601,27.6kV,50,18,16,5.19771E-05,0,0.001818654,41.5,35,2021-08-22 0:00,
T 9442,91360,27.6kV,50,28,20,5.19706E-05,0,0.001818424,50,35,2021-06-28 0:00,
TE 937,90601,27.6kV,50,20,18,5.19677E-05,0,0.001818325,38.5,35,2021-06-28 0:00,
TE 8313,90601,27.6kV,50,10,13,5.19383E-05,0,0.001817295,41,35,2021-08-22 0:00,
TE 7283,90601,27.6kV,50,17,13,5.1928E-05,0,0.001816935,43,35,2021-08-29 0:00,
TE 4250,90605,27.6kV,75,35,16,5.18911E-05,0,0.001815644,54,35,2021-06-26 0:00,
TE 1214,90601,27.6kV,50,10,11,5.18846E-05,0,0.001815418,40,35,2021-06-29 0:00,
TE 8585,90601,27.6kV,50,9,14,5.1876E-05,0,0.001815115,43,35,2021-06-06 0:00,
T 8971,91365,27.6kV,75,30,30,5.18736E-05,0,0.001815032,72,35,2021-08-29 0:00,
TE 5783,90601,27.6kV,50,21,15,5.18608E-05,0,0.001814584,38.5,35,2021-06-06 0:00,
TE 8704,90601,27.6kV,50,6,14,5.18595E-05,0,0.001814537,42,35,2021-07-05 0:00,
TE 3534,90601,27.6kV,50,10,16,5.1855E-05,0,0.001814379,38,35,2021-06-28 0:00,
TE 1545,90600,27.6kV,50,24,15,5.1853E-05,0,0.001814311,40.5,35,2021-07-05 0:00,
TE 8761,90601,27.6kV,50,6,10,5.18221E-05,0,0.001813229,41,35,2021-07-05 0:00,
TE 1788,90604,27.6kV,75,11,10,5.18157E-05,0,0.001813006,46.5,35,2021-07-05 0:00,
T 7040,91358,8.32kV,25,42,3,5.18156E-05,0,0.001813001,43,35,2021-05-01 0:00,
TE 3762,90601,27.6kV,50,5,15,5.17918E-05,0,0.00181217,41.62,35,2022-02-13 0:00,
T 9702,91360,27.6kV,50,25,22,5.1778E-05,0,0.001811688,55,35,2021-08-29 0:00,
T 10262,91360,27.6kV,50,22,23,5.1776E-05,0,0.001811615,55.5,35,2021-08-29 0:00,
TE 2376,90601,27.6kV,50,17,13,5.17488E-05,0,0.001810666,42,35,2021-08-21 0:00,
TE 3906,90605,27.6kV,75,36,12,5.17268E-05,0,0.001809896,56.25,35,2021-07-05 0:00,
TE 799,90604,27.6kV,75,13,23,5.17027E-05,0,0.001809052,57,35,2021-07-06 0:00,
TE 6743,90601,27.6kV,50,19,14,5.16757E-05,0,0.001808106,38,35,2021-07-05 0:00,
TE 8549,90601,27.6kV,50,6,15,5.16486E-05,0,0.001807161,43.5,35,2021-07-05 0:00,
TE 1373,90467,27.6kV,225,22,1,5.1645E-05,0,0.001807033,168.75,35,2021-06-28 0:00,
TE 4954,90601,27.6kV,50,14,11,5.16296E-05,0,0.001806495,40,35,2021-08-21 0:00,
TE 6997,90601,27.6kV,50,19,14,5.16281E-05,0,0.001806441,41.5,35,2021-08-29 0:00,
TE 7878,90601,27.6kV,50,14,12,5.16019E-05,0,0.001805524,36,35,2021-08-29 0:00,
TE 1605,90467,27.6kV,225,9,2,5.16006E-05,0,0.001805479,157.95,35,2022-01-11 0:00,
TE 2454,90604,27.6kV,75,12,16,5.1586E-05,0,0.001804969,51.75,35,2021-07-06 0:00,
TE 7055,90728,27.6kV,500,12,2,5.15758E-05,0,0.001804612,320,35,2021-06-07 0:00,
T 774,91080,4.16kV,50,49,13,5.15658E-05,0,0.001804263,45,35,2021-08-22 0:00,
TE 7339,90601,27.6kV,50,15,14,5.1545E-05,0,0.001803533,41.5,35,2021-06-10 0:00,
TE 2552,90600,27.6kV,50,46,17,5.15413E-05,0,0.001803406,40,35,2021-08-29 0:00,
TE 3665,90460,27.6kV,150,40,1,5.14971E-05,0,0.001801857,122.595,35,2022-01-29 0:00,
TE 2248,90601,27.6kV,50,15,15,5.14958E-05,0,0.001801811,38,35,2021-07-06 0:00,
TE 8648,90601,27.6kV,50,7,14,5.14887E-05,0,0.001801565,42,35,2021-06-06 0:00,
T 9036,91360,27.6kV,50,42,18,5.14571E-05,0,0.00180046,46,35,2021-07-05 0:00,
TE 8710,90601,27.6kV,50,6,13,5.14517E-05,0,0.00180027,40.5,35,2021-08-17 0:00,
TE 4461,90601,27.6kV,50,2,16,5.14278E-05,0,0.001799432,33.5,35,2021-06-08 0:00,
TE 3250,90601,27.6kV,50,10,16,5.14277E-05,0,0.001799428,37,35,2021-08-23 0:00,
T 8613,91355,27.6kV,37,47,11,5.14266E-05,0,0.00179939,29.6,35,2021-06-28 0:00,
T 10574,91365,27.6kV,75,18,27,5.14227E-05,0,0.001799256,72.75,35,2021-08-21 0:00,
TE 6921,90601,27.6kV,50,19,12,5.14051E-05,0,0.001798639,39,35,2021-08-29 0:00,
TE 978,90083,27.6kV,50,1,16,5.13994E-05,0,0.00179844,40.5,35,2021-08-29 0:00,
TE 7086,90601,27.6kV,50,19,13,5.13893E-05,0,0.001798084,41.5,35,2021-08-29 0:00,
T 11159,91360,27.6kV,50,10,25,5.13671E-05,0,0.00179731,49,35,2021-07-06 0:00,
TE 1757,90601,27.6kV,50,11,14,5.13596E-05,0,0.001797047,42.5,35,2021-07-25 0:00,
TE 1368,90604,27.6kV,75,20,18,5.13481E-05,0,0.001796643,59.25,35,2021-08-29 0:00,
TE 8311,90601,27.6kV,50,10,12,5.1343E-05,0,0.001796467,41.5,35,2021-08-23 0:00,
TE 8211,90601,27.6kV,50,11,18,5.13421E-05,0,0.001796434,39.5,35,2021-08-09 0:00,
TE 3589,90601,27.6kV,50,13,12,5.13373E-05,0,0.001796265,37.5,35,2021-06-27 0:00,
TE 3657,90605,27.6kV,75,36,16,5.13245E-05,0,0.001795819,49.5,35,2021-06-28 0:00,
TE 7858,90601,27.6kV,50,14,14,5.13076E-05,0,0.001795229,38.5,35,2021-08-22 0:00,
TE 3121,90601,27.6kV,50,11,14,5.12762E-05,0,0.001794128,39.5,35,2021-08-29 0:00,
TE 6178,90601,27.6kV,50,23,15,5.12548E-05,0,0.001793381,40.5,35,2021-06-29 0:00,
TE 4117,90601,27.6kV,50,5,15,5.12289E-05,0,0.001792473,38,35,2021-07-05 0:00,
TE 6924,90601,27.6kV,50,19,16,5.11623E-05,0,0.001790143,41,35,2021-08-29 0:00,
T 11088,91405,27.6kV,111,10,2,5.11449E-05,0,0.001789536,71.04,35,2021-07-19 0:00,
TE 7894,90601,27.6kV,50,14,15,5.11449E-05,0,0.001789534,42,35,2021-08-29 0:00,
TE 938,90601,27.6kV,50,19,14,5.11415E-05,0,0.001789415,40,35,2021-06-06 0:00,
TE 2847,90601,27.6kV,50,12,13,5.11297E-05,0,0.001789002,43.5,35,2021-08-24 0:00,
TE 4455,90605,27.6kV,75,34,16,5.11197E-05,0,0.001788653,58.5,35,2021-06-06 0:00,
TE 1998,90601,27.6kV,50,22,19,5.11188E-05,0,0.001788622,39,35,2021-08-29 0:00,
TE 2272,90601,27.6kV,50,17,12,5.10703E-05,0,0.001786924,39.5,35,2021-06-06 0:00,
TE 4434,90601,27.6kV,50,3,12,5.10279E-05,0,0.001785441,42,35,2021-08-29 0:00,
TE 4962,90601,27.6kV,50,18,16,5.09643E-05,0,0.001783214,35.5,35,2021-07-06 0:00,
TE 6090,90605,27.6kV,75,21,11,5.09499E-05,0,0.001782712,54.75,35,2021-08-29 0:00,
T 11488,91360,27.6kV,50,7,27,5.09159E-05,0,0.001781524,50,35,2021-07-06 0:00,
TE 2092,90601,27.6kV,50,9,18,5.09011E-05,0,0.001781003,40,35,2021-08-29 0:00,
TE 7391,90601,27.6kV,50,17,16,5.08922E-05,0,0.001780692,37,35,2021-06-27 0:00,
T 9377,91360,27.6kV,50,28,17,5.08866E-05,0,0.001780498,49,35,2021-08-24 0:00,
TE 8233,90601,27.6kV,50,11,10,5.08609E-05,0,0.001779598,40,35,2021-08-20 0:00,
T 5982,91075,4.16kV,37,23,6,5.08593E-05,0,0.001779541,36.26,35,2021-06-27 0:00,
TE 6896,90601,27.6kV,50,19,15,5.08499E-05,0,0.001779214,39,35,2021-06-06 0:00,
T 11467,91350,27.6kV,25,7,2,5.08374E-05,0,0.001778775,30,35,2021-07-06 0:00,
TE 8819,90601,27.6kV,50,6,15,5.08289E-05,0,0.001778477,34.5,35,2021-07-05 0:00,
T 1452,91075,4.16kV,37,14,13,5.082E-05,0,0.001778168,36.26,35,2021-06-27 0:00,
TE 8779,90601,27.6kV,50,6,13,5.07807E-05,0,0.001776791,39.5,35,2021-06-06 0:00,
TE 4620,90600,27.6kV,50,33,15,5.07545E-05,0,0.001775873,35.5,35,2021-05-25 0:00,
TE 1449,90601,27.6kV,50,20,11,5.07478E-05,0,0.00177564,38,35,2021-08-24 0:00,
TE 2641,90601,27.6kV,50,11,15,5.07475E-05,0,0.00177563,45.5,35,2021-07-05 0:00,
TE 6905,90601,27.6kV,50,19,12,5.07445E-05,0,0.001775524,39,35,2021-07-04 0:00,
TE 9435,90601,27.6kV,50,2,10,5.07408E-05,0,0.001775397,55.13,35,2022-03-30 0:00,
T 1055,91075,4.16kV,37,56,9,5.07295E-05,0,0.001774999,36.63,35,2021-07-06 0:00,
T 8143,91360,27.6kV,50,49,26,5.07288E-05,0,0.001774976,59,35,2021-07-06 0:00,
TE 8296,90601,27.6kV,50,10,13,5.07115E-05,0,0.001774371,37.5,35,2021-08-29 0:00,
T 11713,91360,27.6kV,50,7,22,5.06974E-05,0,0.001773875,55,35,2021-07-05 0:00,
TE 2170,90601,27.6kV,50,12,11,5.06698E-05,0,0.001772912,40,35,2021-08-29 0:00,
TE 3585,90565,27.6kV,75,51,12,5.06698E-05,0,0.001772912,52.5,35,2021-08-24 0:00,
T 8019,91355,27.6kV,37,37,14,5.06566E-05,0,0.00177245,33.67,35,2021-07-06 0:00,
TE 6937,90601,27.6kV,50,19,14,5.06483E-05,0,0.001772159,41,35,2021-06-28 0:00,
TE 3262,90601,27.6kV,50,5,15,5.06459E-05,0,0.001772075,42.5,35,2021-08-11 0:00,
T 9700,91355,27.6kV,37,25,17,5.06382E-05,0,0.001771806,34.41,35,2021-08-09 0:00,
TE 7646,90601,27.6kV,50,19,14,5.06213E-05,0,0.001771212,40,35,2021-08-22 0:00,
TE 8852,90608,27.6kV,100,5,48,5.06079E-05,0,0.001770746,92,35,2021-08-29 0:00,
TE 5013,90601,27.6kV,50,2,15,5.0604E-05,0,0.001770607,39,35,2021-07-05 0:00,
TE 7692,90601,27.6kV,50,17,14,5.06031E-05,0,0.001770577,38,35,2021-06-28 0:00,
TE 6192,90601,27.6kV,50,23,14,5.06023E-05,0,0.001770549,40,35,2021-08-29 0:00,
TE 400,90600,27.6kV,50,25,13,5.06003E-05,0,0.001770478,37.5,35,2021-08-23 0:00,
T 11529,91360,27.6kV,50,7,19,5.0594E-05,0,0.001770257,47.5,35,2021-08-09 0:00,
T 8197,91360,27.6kV,50,37,19,5.05777E-05,0,0.001769689,49,35,2021-07-05 0:00,
TE 2036,90604,27.6kV,75,20,16,5.05649E-05,0,0.00176924,51.75,35,2021-07-06 0:00,
TE 3935,90600,27.6kV,50,30,9,5.05642E-05,0,0.001769218,38.5,35,2021-08-22 0:00,
TE 8356,90601,27.6kV,50,10,15,5.05525E-05,0,0.001768808,40.5,35,2021-06-06 0:00,
TE 6993,90601,27.6kV,50,18,15,5.05518E-05,0,0.001768783,38.5,35,2021-08-17 0:00,
TE 7026,90601,27.6kV,50,18,11,5.05414E-05,0,0.001768418,41.5,35,2021-08-28 0:00,
TE 7786,90601,27.6kV,50,14,16,5.05173E-05,0,0.001767577,38,35,2021-06-28 0:00,
TE 9200,90601,27.6kV,50,4,12,5.05087E-05,0,0.001767276,39.5,35,2021-08-29 0:00,
TE 6184,90601,27.6kV,50,23,12,5.04744E-05,0,0.001766075,40,35,2021-08-09 0:00,
TE 7474,90601,27.6kV,50,17,17,5.04693E-05,0,0.001765897,40,35,2021-08-21 0:00,
TE 8166,90604,27.6kV,75,11,23,5.04686E-05,0,0.001765872,52.5,35,2021-06-27 0:00,
TE 1180,90600,27.6kV,50,26,11,5.04682E-05,0,0.001765858,36,35,2021-08-21 0:00,
TE 8771,90601,27.6kV,50,6,15,5.04541E-05,0,0.001765362,69.36,35,2022-01-29 0:00,
TE 3767,90601,27.6kV,50,5,15,5.04478E-05,0,0.001765144,42,35,2021-06-05 0:00,
TE 8061,90601,27.6kV,50,13,14,5.04345E-05,0,0.001764677,44,35,2021-06-29 0:00,
TE 7256,90601,27.6kV,50,17,15,5.04287E-05,0,0.001764475,37,35,2021-07-06 0:00,
TE 6357,90601,27.6kV,50,22,15,5.04263E-05,0,0.00176439,42.5,35,2021-06-28 0:00,
TE 3768,90601,27.6kV,50,5,15,5.03732E-05,0,0.001762532,42.5,35,2021-07-18 0:00,
T 814,91070,4.16kV,25,5,5,5.037E-05,0,0.001762421,25.5,35,2021-07-06 0:00,
TE 7277,90728,27.6kV,500,16,1,5.03633E-05,0,0.001762185,405,35,2021-09-14 0:00,
TE 7285,90601,27.6kV,50,17,15,5.03166E-05,0,0.001760554,37,35,2021-06-28 0:00,
T 10911,91350,27.6kV,25,16,11,5.03005E-05,0,0.001759989,27.3,35,2022-01-30 0:00,
TE 874,90601,27.6kV,50,11,17,5.02935E-05,0,0.001759744,38,35,2021-06-13 0:00,
TE 3393,90601,27.6kV,50,13,13,5.02694E-05,0,0.0017589,46,35,2021-07-06 0:00,
TE 5622,90601,27.6kV,50,8,16,5.02665E-05,0,0.001758799,41.5,35,2021-08-21 0:00,
TE 1499,90601,27.6kV,50,21,2,5.02382E-05,0,0.001757809,33,35,2021-06-06 0:00,
T 10933,91370,27.6kV,100,14,44,5.0236E-05,0,0.001757732,100,35,2021-07-06 0:00,
TE 4448,90605,27.6kV,75,34,14,5.02121E-05,0,0.001756897,53.25,35,2021-06-06 0:00,
TE 2878,90601,27.6kV,50,11,14,5.02108E-05,0,0.001756851,40,35,2021-08-29 0:00,
TE 7092,90601,27.6kV,50,18,14,5.02005E-05,0,0.001756489,42,35,2021-06-27 0:00,
T 10640,91360,27.6kV,50,18,25,5.02002E-05,0,0.00175648,46.5,35,2021-08-29 0:00,
TE 7545,90601,27.6kV,50,9,11,5.01893E-05,0,0.0017561,36,35,2021-07-05 0:00,
TE 6009,90601,27.6kV,50,24,14,5.01776E-05,0,0.001755689,38.5,35,2021-06-06 0:00,
TE 7316,90601,27.6kV,50,17,15,5.01576E-05,0,0.001754989,38.5,35,2021-06-26 0:00,
TE 5327,90600,27.6kV,50,29,14,5.01399E-05,0,0.001754371,44,35,2021-08-29 0:00,
TE 8775,90601,27.6kV,50,6,14,5.01064E-05,0,0.001753196,42,35,2021-08-22 0:00,
TE 239,90601,27.6kV,50,9,15,5.00966E-05,0,0.001752856,41,35,2021-06-06 0:00,
TE 4929,90723,27.6kV,300,6,13,5.00841E-05,0,0.001752416,210,35,2021-08-26 0:00,
T 10337,91350,27.6kV,75,21,1,5.00597E-05,0,0.001751562,79.2525,35,2022-01-10 0:00,
T 10593,91350,27.6kV,75,18,2,5.00587E-05,0,0.001751528,58.5,35,2021-06-28 0:00,
TE 1164,90462,27.6kV,150,8,1,5.00526E-05,0,0.001751315,76.5,35,2021-08-29 0:00,
TE 7207,90601,27.6kV,50,18,11,5.00489E-05,0,0.001751186,37,35,2021-07-06 0:00,
TE 1782,90604,27.6kV,75,20,15,5.00476E-05,0,0.00175114,54,35,2021-07-05 0:00,
T 10267,91360,27.6kV,50,11,23,5.00318E-05,0,0.001750588,49,35,2021-07-06 0:00,
TE 1889,90601,27.6kV,50,9,14,5.00227E-05,0,0.001750268,37,35,2021-08-22 0:00,
T 9946,91410,27.6kV,150,11,1,4.99972E-05,0,0.001749377,172.26,35,2021-12-07 0:00,
TE 9250,90601,27.6kV,50,4,14,4.99802E-05,0,0.001748781,41.5,35,2021-08-22 0:00,
TE 1775,90601,27.6kV,50,22,1,4.99638E-05,0,0.001748209,35,35,2021-08-26 0:00,
T 11307,91365,27.6kV,75,9,33,4.99618E-05,0,0.001748138,71.25,35,2021-06-27 0:00,
TE 949,90462,27.6kV,150,8,7,4.9942E-05,0,0.001747446,73.5,35,2021-08-24 0:00,
TE 6488,90601,27.6kV,50,21,13,4.99306E-05,0,0.001747046,38.5,35,2021-06-29 0:00,
T 2643,91070,4.16kV,25,61,8,4.99301E-05,0,0.00174703,25.25,35,2021-08-28 0:00,
TE 1698,90601,27.6kV,50,11,16,4.99068E-05,0,0.001746214,39.5,35,2021-08-09 0:00,
TE 5724,90600,27.6kV,50,26,13,4.99012E-05,0,0.001746017,44,35,2021-08-28 0:00,
TE 5496,90601,27.6kV,50,9,12,4.98945E-05,0,0.001745782,40.5,35,2021-08-22 0:00,
TE 1294,90601,27.6kV,50,18,12,4.98633E-05,0,0.001744693,40,35,2021-07-04 0:00,
TE 4847,90600,27.6kV,50,33,13,4.98629E-05,0,0.001744677,38.5,35,2021-08-29 0:00,
TE 8205,90601,27.6kV,50,10,16,4.98581E-05,0,0.001744511,41,35,2021-08-21 0:00,
TE 8050,90601,27.6kV,50,13,16,4.98537E-05,0,0.001744358,40.5,35,2021-07-25 0:00,
TE 7569,90601,27.6kV,50,16,13,4.9831E-05,0,0.00174356,39,35,2021-08-29 0:00,
TE 4132,90601,27.6kV,50,12,13,4.98303E-05,0,0.001743537,40,35,2021-07-06 0:00,
TE 6204,90601,27.6kV,50,23,14,4.98171E-05,0,0.001743075,37,35,2021-08-26 0:00,
TE 4839,90601,27.6kV,50,5,16,4.98149E-05,0,0.001742999,49,35,2021-08-29 0:00,
TE 3623,90601,27.6kV,50,4,15,4.97951E-05,0,0.001742305,41,35,2021-06-06 0:00,
TE 6379,90601,27.6kV,50,22,15,4.97835E-05,0,0.001741901,40,35,2021-07-06 0:00,
TE 9113,90601,27.6kV,50,3,14,4.97698E-05,0,0.001741419,41,35,2021-07-05 0:00,
TE 5982,90601,27.6kV,50,24,12,4.9756E-05,0,0.001740939,42,35,2021-07-05 0:00,
TE 7797,90601,27.6kV,50,14,12,4.97526E-05,0,0.00174082,38.5,35,2021-08-29 0:00,
TE 8072,90601,27.6kV,50,11,15,4.97466E-05,0,0.001740609,42,35,2021-06-27 0:00,
TE 4101,90601,27.6kV,50,5,15,4.97429E-05,0,0.001740481,40.5,35,2021-08-29 0:00,
TE 3459,90604,27.6kV,75,10,16,4.97418E-05,0,0.00174044,51,35,2021-08-29 0:00,
TE 3449,90601,27.6kV,50,10,11,4.9737E-05,0,0.001740272,45,35,2021-08-28 0:00,
TE 6793,90740,27.6kV,1000,20,1,4.97293E-05,0,0.001740004,630,35,2021-06-28 0:00,
TE 6863,90601,27.6kV,50,20,14,4.97252E-05,0,0.001739858,41.5,35,2021-08-29 0:00,
TE 6908,90601,27.6kV,50,22,16,4.97187E-05,0,0.001739633,42,35,2021-08-29 0:00,
TE 9137,90601,27.6kV,50,4,14,4.97065E-05,0,0.001739207,35.5,35,2021-08-26 0:00,
TE 8922,90601,27.6kV,50,5,15,4.96994E-05,0,0.001738956,40.5,35,2021-08-22 0:00,
TE 8698,90601,27.6kV,50,6,12,4.96974E-05,0,0.001738886,39,35,2021-08-29 0:00,
T 11387,91360,27.6kV,50,6,19,4.96864E-05,0,0.001738503,50.5,35,2021-06-29 0:00,
TE 3629,90604,27.6kV,75,18,13,4.96653E-05,0,0.001737765,51,35,2021-08-23 0:00,
TE 5564,90600,27.6kV,50,28,14,4.96503E-05,0,0.00173724,41,35,2021-08-29 0:00,
TE 5927,90601,27.6kV,50,12,14,4.96417E-05,0,0.001736937,40.5,35,2021-07-05 0:00,
TE 6482,90601,27.6kV,50,21,15,4.9594E-05,0,0.00173527,39.5,35,2021-08-23 0:00,
TE 1716,90601,27.6kV,50,12,21,4.95891E-05,0,0.001735097,36.08,35,2021-11-28 0:00,
TE 7904,90601,27.6kV,50,11,15,4.95788E-05,0,0.001734736,36.5,35,2021-06-27 0:00,
TE 2262,90600,27.6kV,50,47,12,4.95645E-05,0,0.001734239,39.5,35,2021-08-29 0:00,
TE 8972,90601,27.6kV,50,5,13,4.95477E-05,0,0.001733648,38.5,35,2021-07-04 0:00,
TE 4438,90601,27.6kV,50,5,15,4.95235E-05,0,0.001732803,43.5,35,2021-06-28 0:00,
TE 5816,90255,4.16kV,150,26,1,4.95202E-05,0,0.001732688,149.58,35,2021-10-10 0:00,
TE 1989,90601,27.6kV,50,11,15,4.95106E-05,0,0.001732351,42,35,2021-07-25 0:00,
T 10302,91345,27.6kV,10,14,3,4.94913E-05,0,0.001731676,11.7,35,2021-07-24 0:00,
TE 5174,90601,27.6kV,50,6,15,4.94898E-05,0,0.001731624,43,35,2021-08-29 0:00,
